exposure_bucket,post,issues_per_active_repo_mean,issue_burden_index_mean
high,0,0.43961561695834356,-0.4360251646619404
high,1,0.5153707777567383,0.7393454997395069
low,0,0.5177729681544726,-0.7622067586379819
low,1,0.6019685404426025,0.12328326172449891
mid,0,0.5402130057026301,-0.33973550058131896
mid,1,0.6312818800203991,0.6721735724927003
