outcome,event_month,coef,std_error,t_stat,p_value,ci_low_95,ci_high_95,baseline_month_omitted,pretrend_joint_wald_stat,pretrend_joint_p_value,mean_pre_event_coef,mean_post_event_coef,cumulative_post_coef_0_6,cumulative_post_coef_0_12
avg_first_response_hours,-12,1.7004211045957198,2.1190435297750327,0.8024474630666243,0.4229379662066157,-2.452904213763344,5.853746422954784,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-11,-0.729430522304548,1.319812309842064,-0.5526774654737352,0.5809013996503938,-3.3162626495949934,1.8574016049858977,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-10,-2.023330619839126,1.3275378210475672,-1.5241227690541463,0.12854571536639625,-4.625304749092358,0.578643509414106,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-9,1.8693702433766282,1.2358108700228179,1.5126669369254797,0.1314312076447015,-0.5528190618680946,4.2915595486213505,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-8,-3.0120668870937246,1.2044375734818713,-2.5008078072375586,0.012931482298587538,-5.372764531118192,-0.651369243069257,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-7,0.4611521494656721,1.1667907879889023,0.39523122243750375,0.6929569253349035,-1.8257577949925765,2.7480620939239206,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-6,-3.8931102414144196,0.7347334488575935,-5.2986702149842975,2.282099620387612e-07,-5.333187801175303,-2.4530326816535366,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-5,-0.1934808012179937,2.2452188455521878,-0.08617458454051465,0.9313858958211694,-4.594109738500281,4.207148136064294,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-4,0.4249639810485662,0.9015145716087933,0.4713889208581497,0.6377102736558462,-1.3420045793046687,2.191932541401801,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
avg_first_response_hours,-3,-2.080253660749377,1.5991203179635862,-1.3008737600173164,0.19431344551219243,-5.214529483958006,1.054022162459252,-1,-3.019460175422357e+16,1.0,-0.9260329298968387,1.8610394950025262,15.886271119657316,27.643442268511997
