outcome,coef_treatment_intensity,std_error,t_stat,p_value,n_obs,r_squared,estimator
avg_first_response_hours,2.5500312973750257,0.26757142220586233,9.530282704903737,1.5685548889972782e-21,384,0.766671169954481,statsmodels_ols_fe_clustered
issues_opened,5.998491974073536,1.6559753755344404,3.622331625636411,0.00029195949552914994,384,0.9403521680961133,statsmodels_ols_fe_clustered
